Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Kunanti Kopi,4,60000,"Bintaro, Jakarta",Kafe,Kopi,Barat,1
Brew and Wood Coffee,4,60000,"Cilandak, Jakarta",Kopi,Indonesia,-,1
Ganthari Ayam Bakar,3.8,60000,"Blok M, Jakarta",Jawa,-,-,1
Portal Coffee and Travel,4,60000,"Pondok Indah, Jakarta",Kafe,Kopi,Tea,1
Hidangan by Dapur Mamih,3.7,60000,"Pondok Indah Plaza 2, Pondok indah, Jakarta",Indonesia,-,-,1
Supercup Coffee Shop,3.7,60000,"Plaza Festival, Kuningan, Jakarta",Kafe,Kopi,Dimsum,1
Warung Pringga,3.7,60000,"Bintaro, Jakarta",Jepang,Sushi,Itali,1
Baba Kassim,3.8,60000,"Mampang Prapatan, Jakarta",India Utara,-,-,1
FITDELI,3.4,60000,"Cilandak, Jakarta",Makanan Sehat Food,-,-,1
Boloo Boloo,3.5,60000,"Pasar Minggu, Jakarta",Fast Food,Jepang,-,1
Burger King,3.7,63000,"Senayan City, Senayan, Jakarta",Makanan Cepat Saji,Burger,-,1
Bakmi GM,3.7,63000,"Senayan City, Senayan, Jakarta",Bakmi,-,-,1
Carburator Springs Kafe,3.7,63000,"Bintaro, Jakarta",Barat,-,-,1
Kopi Tikum,3.7,63000,"Senopati, Jakarta",Kafe,Kopi,-,1
Bakso Lapangan Tembak Senayan,3,65000,"Senayan, Jakarta",Bakso,Indonesia,-,1
A Fung Baso Sapi Asli,3.3,65000,"Senayan City, Senayan, Jakarta",Bakso,-,-,1
Gelato Secrets,2.8,65000,"Citywalk Sudirman, Sudirman, Jakarta",Ice Cream,-,-,1
Crunchaus Salads,3.5,65000,"Plaza Senayan, Senayan, Jakarta",Makanan Sehat,-,-,1
Baskin Robbins,3.2,65000,"Senayan City, Senayan, Jakarta",Ice Cream,Desserts,-,1
Goedkoop,4.3,65000,"Bendungan Hilir, Jakarta",Kafe,Kopi,Belanda,1
Kaffeine Kline,3.8,65000,"Mampang Prapatan, Jakarta",Kopi,Indonesia,Barat,1
Chicken Run,3.7,65000,"Senopati, Jakarta",Grill,-,-,1
Sate Mak Syukur,3.6,65000,"Pasaraya Grande, Melawai, Jakarta",Satay,Padang,-,1
RBoJ Coffee,4.1,65000,"Pasar Minggu, Jakarta",Kopi,-,-,1
Coffee Life,4.1,65000,"Fatmawati, Jakarta",Kopi,Indonesia,Itali,1
Something Good,3.3,65000,"Ruko Taman Hijau, Pondok Indah, Jakarta",Indonesia,Kopi,Desserts,1
Tous Les Jours,4.1,68000,"Senayan City, Senayan, Jakarta",Kue & Roti,Kopi,Tea,1
Torico Restaurant,2.7,70000,"fX Sudirman, Sudirman, Jakarta",Sushi,Ramen,Jepang,1
Berlin Doner,4,70000,"fX Sudirman, Sudirman, Jakarta",Kebab,Makanan Cepat Saji,Turki,1
Golden Lamian,4,70000,"Senayan City, Senayan, Jakarta",Bakmi,Chinese,-,1
Kopilojik,3.8,70000,"Tebet, Jakarta",Kopi,Burger,Indonesia,1
Woodpecker Coffee,4.2,70000,"Dharmawangsa, Jakarta",Desserts,Tea,Kopi,1
FRI3NDS.CO,3.5,70000,"Blok M, Jakarta",Kopi,Indonesia,Itali,1
Mikkro Espresso,4,75000,"Senayan, Jakarta",Kopi,Kue & Roti,Asia,1
11:11,3.6,75000,"Senayan City, Senayan, Jakarta",Kopi,Tea,Desserts,1
Chill in Kafe,3.5,75000,"STC Senayan, Senayan, Jakarta",Barat,Jawa,Indonesia,1
Ya Kun Kaya Toast,3,75000,"Plaza Senayan, Senayan, Jakarta",Malaysia,-,-,1
HokBen Express,3,75000,"Plaza Senayan, Senayan, Jakarta",Makanan Cepat Saji,Jepang,-,1
Solaria,2.8,75000,"Senayan Park, Senayan, Jakarta",Indonesia,Chinese,-,1
Barapi Meat and Grill,4.1,75000,"Palmerah, Jakarta",Steak,-,-,1
Grand Chuan Tin,3.7,75000,"Pacific Place, SCBD, Jakarta",Chinese,Dimsum,-,1
Mori Express,4.7,75000,"Office 8, Senopati, Jakarta",Jepang,-,-,1
Wakacao Beef Pepper Rice,4,75000,"Palmerah, Jakarta",Indonesia,-,-,1
Café Kitsuné,2.5,75000,"SCBD, Jakarta",Indonesia,-,-,1
Hoghock,4,75000,"Citywalk Sudirman, Sudirman, Jakarta",Asia,-,-,1
K-Kitchen,3.8,75000,"Senayan City, Senayan, Jakarta",Korea,-,-,1
Warung Koffie Batavia,3.6,75000,"Senayan City, Senayan, Jakarta",Kafe,Indonesia,-,1
Old Town White Coffee,3.4,75000,"Senayan, Jakarta",Kopi,Peranakan,Asia,1
Rempah Kita,3.8,75000,"Senayan City, Senayan, Jakarta",Indonesia,-,-,1
QQ Kopitiam,3.2,75000,"Rukan Permata Senayan, Senayan, Jakarta",Peranakan,Indonesia,Desserts,1
Sawangan Resto,3.5,75000,"Senayan, Jakarta",Asia,-,-,1
SHABUKAMA,3.3,75000,"Senayan, Jakarta",Jepang,-,-,1
On Three,4.6,75000,"SCBD, Jakarta",Kafe,Desserts,Kopi,1
Kabuto Black,3.7,75000,"Pacific Place, SCBD, Jakarta",Jepang,-,-,1
Berrywell,3.5,75000,"Citywalk Sudirman, Sudirman, Jakarta",Makanan Sehat,-,-,1
U-Thai Kafe & Resto,3.6,75000,"SCBD, Jakarta",Thai,Chinese,-,1
Puput,3.7,75000,"World Trade Center 2, Sudirman, Jakarta",Chinese,Indonesia,-,1
IWS Kafe & Noodle,3.3,75000,"Pacific Place, SCBD, Jakarta",Bakmi,-,-,1
Shanghai Garden,3.8,75000,"IDX, SCBD, Jakarta",Chinese,Indonesia,-,1
Barbekyu Chicken Express,3.9,75000,"Senayan, Jakarta",Korea,-,-,1
Warung Buntut Bang Jack,3.5,75000,"Plaza Senayan, Senayan, Jakarta",Indonesia,-,-,1
Fudgy Bro,3.5,75000,"Senayan, Jakarta",Desserts,-,-,1
KFC,3.1,75000,"Senayan City, Senayan, Jakarta",Makanan Cepat Saji,Amerika,-,1
Eaton,3.3,75000,"Plaza Senayan, Senayan, Jakarta",Indonesia,Chinese,Kue & Roti,1
Waroeng Kita,2.8,75000,"Plaza Senayan, Senayan, Jakarta",Indonesia,-,-,1
Sushi King,3.2,75000,"Senayan City, Senayan, Jakarta",Jepang,Sushi,-,1
Kuppie Coffee,3.9,75000,"STC Senayan, Senayan, Jakarta",Kafe,-,-,1
The Cortado,3.8,75000,"Palmerah, Jakarta",Kafe,Kopi,Tea,1
Coteca,4,75000,"Palmerah, Jakarta",Kafe,Itali,Kopi,1
Kedai Inn,3.2,75000,"Sudirman, Jakarta",Kafe,Asia,-,1
Kopitiam,3.3,75000,"IDX, SCBD, Jakarta",Kopi,Peranakan,-,1
HokBen,3.6,75000,"Plaza Semanggi, Sudirman, Jakarta",Makanan Cepat Saji,Jepang,-,1
Walking Drums,4.3,75000,"Blok M, Jakarta",Indonesia,-,-,1
Pigeonhole Coffee,4.4,75000,"Bintaro, Jakarta",Kopi,Barat,-,1
Bakmi Tiga Marga,3.7,75000,"Kebayoran Lama, Jakarta",Bakmi,Chinese,-,1
Selawaktu Coffee,3.7,75000,"Tebet, Jakarta",Kopi,Asia,-,1
Bil's Coffee,3.8,75000,"CIBIS NINE, Cilandak, Jakarta",Kopi,Desserts,-,1
Lula Kitchen & Coffee,4,75000,"Dharmawangsa, Jakarta",Kafe,Kopi,Tea,1
Greenwood Coffee,3.9,75000,"Pondok Indah, Jakarta",Kopi,Asia,Itali,1
Commonroom Coffee,4,75000,"Fatmawati, Jakarta",Kafe,Kopi,Barat,1
X Coffee - Hotel NEO Tendean,3.2,75000,"Senopati, Jakarta",Kafe,Kopi,Tea,1
Segafredo,3.6,75000,"Kota Kasablanka, Tebet, Jakarta",Kafe,Itali,Kopi,1
Cozyfield Kafe,3.9,75000,"Pondok Indah Mall 1, Pondok Indah, Jakarta",Indonesia,Kafe,Roti,1
Griyo Kulo Resto,3.7,75000,"Jagakarsa, Jakarta",Jawa,-,-,1
Koffie Nation,3.7,75000,"Epicentrum Walk, Kuningan, Jakarta",Kafe,Indonesia,-,1
Bebek Dower,3,75000,"Plaza Festival, Kuningan, Jakarta",Indonesia,-,-,1
SIKU,4.1,75000,"Dharmawangsa, Jakarta",Desserts,Indonesia,Amerika,1
Bukan Ruang,4.2,75000,"Kemang, Jakarta",Kopi,Kafe,Indonesia,1
Sama Dengan,4.2,75000,"Kalibata City Square, Kalibata, Jakarta",Kafe,Kopi,Tea,1
Terroir Coffee & Eats,4.1,75000,"Dharmawangsa, Jakarta",Steak,Itali,Indonesia,1
LEMONDISCOFISH,4.2,75000,"Kemang, Jakarta",Kopi,Desserts,Ice Cream,1
Kerang Kiloan Pak Rudi,3.5,75000,"Blok M, Jakarta",Makanan Jalanan,Seafood,-,1
SABA,3.6,75000,"Cilandak, Jakarta",Asia,Barat,Kopi,1
Loteng,2.7,75000,"Tebet, Jakarta",Kafe,Amerika,Itali,1
Kopikina,4.1,75000,"Tebet, Jakarta",Kafe,Kopi,-,1
Ol' Pops Coffee,4.1,75000,"Bintaro, Jakarta",Kopi,Camilan,-,1
La Boheme Coffee,4.1,75000,"Setiabudi, Jakarta",Kafe,Kopi,Barat,1
Selera Meneer,4,75000,"Gandaria, Jakarta",Jawa,-,-,1
Bersahaja.id,2.2,75000,"Pondok Indah, Jakarta",Kopi,Indonesia,-,1
Homepage,4,75000,"Setiabudi, Jakarta",Kopi,Tea,Desserts,1
BRUNO Kafe in the Park,2.1,75000,"Pasar Minggu, Jakarta",Kopi,Barat,-,1
Sam's Strawberry Corner,3.9,75000,"Dharmawangsa, Jakarta",Bakmi,Jus,Indonesia,1
KOPIKOBOY,3.1,75000,"Pondok Indah, Jakarta",Indonesia,Barat,-,1
Bentala Coffee & Eatery,3.9,75000,"Bintaro, Jakarta",Asia,Roti,Kafe,1
Ikan Bakar Manado,3.7,75000,"Lebak Bulus, Jakarta",Manado,-,-,1
Kebun Ide,3.7,75000,"M Bloc Space, Senopati, Jakarta",Ice Cream,-,-,1
Ayam Goreng Suharti,3.5,75000,"Cilandak, Jakarta",Jawa,-,-,1
Dapur Javara by Javara Culture,3.9,75000,"Kemang, Jakarta",Indonesia,Jawa,Makanan Sehat Food,1
Kopikir! Coffee & TV,3.1,75000,"Kemang, Jakarta",Kafe,Kopi,-,1
Pecel Pincuk Godong Ijo,3.7,75000,"Bintaro, Jakarta",Jawa,-,-,1
G'litik Indonesia Eatery,3.5,75000,"Senopati, Jakarta",Indonesia,-,-,1
Maem,2.5,75000,"Cilandak, Jakarta",Indonesia,Makanan Jalanan,-,1
Plante Coffee and Plants,3.4,75000,"Pondok Indah, Jakarta",Kafe,Kopi,Desserts,1
Kedai Disto,2.9,75000,"Fatmawati, Jakarta",Seafood,-,-,1
Lawless Burgerbar,4.7,75000,"Kemang, Jakarta",Burger,-,-,1
Gordi HQ,4.3,75000,"Cilandak, Jakarta",Kopi,-,-,1
Fillmore Coffee,4.4,75000,"Setiabudi, Jakarta",Kafe,-,-,1
Warung Pasta,4,75000,"Kemang, Jakarta",Asia,Itali,-,1
Fish Streat,4.2,75000,"Pondok Indah, Jakarta",Seafood,Barat,-,1
Smarapura,4.3,75000,"Tebet, Jakarta",Bali,Indonesia,-,1
Ciknic Roast Chicken,4.5,75000,"Ruko Dharmawangsa Square, Dharmawangsa, Jakarta",Barat,-,-,1
Akasya Express,4.5,75000,"Kemang, Jakarta",Jawa,Indonesia,-,1
Martabak Boss,3.6,75000,"Tebet, Jakarta",Martabak,Makanan Jalanan,-,1
Popmeat Warung Steak,3.4,75000,"Tebet, Jakarta",Grill,-,-,1
Opiopio Kafe & Lounge,4,75000,"Pondok Indah, Jakarta",Asia,Kafe,Barat,1
Selow The Barbekyu Artisans,4.1,75000,"Lebak Bulus, Jakarta",Asia,Barbekyu,-,1
Kopi Kitchen,3.6,75000,"Kemang Village, Kemang, Jakarta",Kafe,-,-,1
Mood Wellness Studio and Kitchen,3.8,75000,"Kemang, Jakarta",Kafe,Barat,Makanan Sehat Food,1
Lokal Deli Coffee and Cakes,3.7,75000,"Como Park, Kemang, Jakarta",Kafe,Desserts,-,1
Sallo Innyan Restaurant,3.6,75000,"Tebet, Jakarta",Seafood,Beverages,Kalimantan,1
Belly Bandit,3.9,75000,"Bintaro, Jakarta",Amerika,Burger,-,1
Kiasan Coffee,3.3,75000,"Kemang, Jakarta",Barat,Kafe,Kopi,1
BarBurger,3.8,75000,"Ampera Garden, Cilandak, Jakarta",Burger,Barat,-,1
Raja's Coffee,3.5,75000,"Menara Bidakara, Gatot Subroto, Jakarta",Kopi,Indonesia,Barat,1
Bean Me Up,3.8,75000,"Equity Tower, SCBD, Jakarta",Barat,Indonesia,Kopi,1
Canary Coffee Shop - Aston Priority Simatupang,3.5,75000,"Aston Priority Simatupang, Cilandak, Jakarta",Kopi,-,-,1
Netijen Kafe,3.3,75000,"Jagakarsa, Jakarta",Kafe,-,-,1
Jack/Rose,4.6,75000,"Dharmawangsa, Jakarta",Kafe,Kopi,-,1
Busy Beans,2.9,75000,"Dharmawangsa, Jakarta",Kopi,Camilan,Indonesia,1
Johnny Rockets,3.1,80000,"Sahid Sudirman Center, Sudirman, Jakarta",Burger,Amerika,-,1
Maxx Corner,3.9,80000,"Plaza Semanggi, Sudirman, Jakarta",Kopi,Tea,Itali,1
Chatter Box,3.9,80000,"Plaza Senayan, Senayan, Jakarta",Peranakan,Chinese,Barat,1
Monocle Coffee,4.1,80000,"Senayan, Jakarta",Kopi,Makanan Sehat,Barat,1
Restoran Sederhana,3.3,80000,"Senayan, Jakarta",Padang,Indonesia,-,1
Stack,3.2,80000,"Senopati, Jakarta",Barat,-,-,1
7 Speed Coffee,4.3,80000,"Kemang, Jakarta",Kopi,Itali,Desserts,1
3K Coffee,4.3,80000,"Kemang, Jakarta",Kafe,-,-,1
You Coffee and Resto,4.3,80000,"Jagakarsa, Jakarta",Kopi,Indonesia,Barat,1
Kopi Boutique,4.1,80000,"Fatmawati, Jakarta",Kopi,Camilan,-,1
Oeang Restaurant Roastery and Bar,3.6,80000,"M Bloc Space, Senopati, Jakarta",Asia,Barat,Kopi,1
Titik Temu Coffee,3.8,80000,"M Bloc Space, Senopati, Jakarta",Kopi,Desserts,-,1
Domino's Pizza,3.6,80000,"Kemang, Jakarta",Pizza,Fast Food,-,1
Pandaloka,3.7,80000,"Menara BTPN, Kuningan, Jakarta",Chinese,Fast Food,-,1
Minimal Coffee and Space,3.8,80000,"Kemang, Jakarta",Kopi,Tea,Asia,1
Kopi Buntu,3.5,80000,"Tebet, Jakarta",Kafe,-,-,1
Kaca Coffee & Eatery,3.9,85000,"Bendungan Hilir, Jakarta",Kopi,Indonesia,-,1
Kopi Nalar,4.4,85000,"Senopati, Jakarta",Kopi,Barat,-,1
Waroeng Solo,4.1,85000,"Joglo @ Kemang, CIlandak, Jakarta",Jawa,-,-,1
Mang Kabayan,3.9,85000,"Bintaro, Jakarta",Sunda,-,-,1
Lembur Kuring Bibet,3.6,85000,"Cilandak, Jakarta",Seafood,Camilan,Sunda,1
Warung MJS,4.5,85000,"Setiabudi, Jakarta",Jawa,Indonesia,-,1
Eighty-Eight Workspace,2.5,85000,"Fatmawati, Jakarta",Asia,Barat,-,1
Nom Nom Nom,4.3,85000,"Bona Indah Business Center, Lebak Bulus, Jakarta",Kafe,Barat,Asia,1
ShishaBar Kemang,4,85000,"Kemang, Jakarta",Makanan Jalanan,Indonesia,-,1
Kedai H. Asari,3.8,85000,"Jagakarsa, Jakarta",Betawi,Jawa,Soto,1
Carl's Jr.,3.3,90000,"Plaza Senayan, Senayan, Jakarta",Burger,Makanan Cepat Saji,-,1
Negiya Express,4.3,90000,"Citywalk Sudirman, Sudirman, Jakarta",Jepang,-,-,1
Ikkudo Ichi,4.2,90000,"Pacific Place, SCBD, Jakarta",Ramen,Jepang,-,1
Little India Restaurant,3.6,90000,"Citywalk Sudirman, Sudirman, Jakarta",India,-,-,1
Doma Dona Coffee,4.2,90000,"Dharmawangsa, Jakarta",Kopi,Asia,Itali,1
Yamalu,4.2,90000,"Bintaro, Jakarta",Kopi,Tea,Itali,1
Up All Might,3.7,90000,"Kemang, Jakarta",Kopi,Barat,-,1
Nona Manis,4,90000,"Kemang Village, Kemang, Jakarta",Jawa,Indonesia,Barat,1
Antasore,3.6,90000,"Fatmawati, Jakarta",Jepang,-,-,1
Alenia Papua Coffee & Kitchen,4,90000,"Kemang, Jakarta",Kopi,Indonesia,-,1
Dapur Solo,3.9,90000,"Dharmawangsa, Jakarta",Jawa,-,-,1
Salapan Noodle,3.7,90000,"Fatmawati, Jakarta",Indonesia,Bakmi,-,1
Frescoristo,3.9,95000,"Pondok Indah, Jakarta",Itali,Kafe,-,1
Restoran Beautika Manado,4.5,100000,"Senayan, Jakarta",Manado,Indonesia,-,1
Abura Soba Yamatoten,4.3,100000,"Senayan City, Senayan, Jakarta",Jepang,-,-,1
Taichan,4.2,100000,"Plaza Senayan, Senayan, Jakarta",Jepang,Sushi,-,1
Papa Ron's Pizza,3.7,100000,"Senayan, Jakarta",Pizza,Itali,-,1
The People's Kafe,3.9,100000,"Senayan City, Senayan, Jakarta",Itali,Indonesia,Tea,1
O' Coffee Club,3,100000,"Plaza Senayan, Senayan, Jakarta",Indonesia,Barat,Cemilan,1
SO PHO Vietnamese Kafe,2.8,100000,"Plaza Senayan, Senayan, Jakarta",Vietnam,-,-,1
Tamani Express,3.3,100000,"Plaza Senayan, Senayan, Jakarta",Jawa,Indonesia,Barat,1
Ta Wan,3.8,100000,"Plaza Senayan, Senayan, Jakarta",Chinese,-,-,1
Mr. Bitsy,3.6,100000,"Fairgrounds, SCBD, Jakarta",Asia,-,-,1
Wee Nam Kee,4.2,100000,"Pacific Place, SCBD, Jakarta",Chinese,-,-,1
Ristorante Misticanza,2.9,100000,"Sudirman, Jakarta",Pizza,Itali,Asia,1
Restaurant Sarang Oci,3,100000,"Sudirman, Jakarta",Manado,Indonesia,-,1
Jade Kitchen,3.9,100000,"Pacific Place, SCBD, Jakarta",Chinese,Dimsum,-,1
The Halal Guys,4,100000,"Senayan City, Senayan, Jakarta",Timur Tengah,-,-,1
Zenbu,4.1,100000,"Senayan City, Senayan, Jakarta",Sushi,Ramen,Jepang,1
Pepper Lunch,4,100000,"Plaza Senayan, Senayan, Jakarta",Jepang,-,-,1
Blacklisted,4,100000,"Rukan Permata Senayan, Senayan, Jakarta",Kopi,Tea,Itali,1
Sedjuk Bakmi & Kopi,4.2,100000,"SCBD, Jakarta",Bakmi,Kopi,-,1
Kimukatsu,4.4,100000,"Pacific Place, SCBD, Jakarta",Jepang,-,-,1
Liberta,3.9,100000,"Apartemen Pavilion, Sudirman, Jakarta",Itali,-,-,1
Giggle Box Kafe & Resto,3.9,100000,"Plaza Semanggi, Sudirman, Jakarta",Indonesia,Barat,-,1
Fukumimi,4,100000,"Citywalk Sudirman, Sudirman, Jakarta",Jepang,Sushi,-,1
Mujigae,4,100000,"fX Sudirman, Sudirman, Jakarta",Korea,-,-,1
Dapoer Aceh Melayu,3.8,100000,"Plaza Sentral, Sudirman, Jakarta",Indonesia,Peranakan,Aceh,1
Restongalam,3.4,100000,"fX Sudirman, Sudirman, Jakarta",Jawa,Sunda,-,1
Udonku,3.6,100000,"Mid Plaza 1, Sudirman, Jakarta",Jepang,-,-,1
Siam Square,3.3,100000,"IDX, SCBD, Jakarta",Thai,-,-,1
Hakata Ikkousha,4.4,100000,"Senayan City, Senayan, Jakarta",Jepang,Ramen,-,1
Fit Gourmet Express,3.5,100000,"Senayan, Jakarta",Makanan Sehat,Fusion,-,1
Yokunatta,3,100000,"Rukan Permata Senayan, Senayan, Jakarta",Jepang,Sushi,-,1
Kyochon,4.1,100000,"Pacific Place, SCBD, Jakarta",Korea,-,-,1
Limu Poke,4,100000,"Pacific Place, SCBD, Jakarta",Makanan Sehat,-,-,1
Koiki Japanese Eatery,4,100000,"SCBD, Jakarta",Jepang,-,-,1
Taliwang Bali,4,100000,"Pacific Place, SCBD, Jakarta",Bali,Lombok,Indonesia,1
Marco by Chef Marco Lim,3.9,100000,"Pacific Place, SCBD, Jakarta",Padang,-,-,1
Ichiban Sushi,3.1,100000,"fX Sudirman, Sudirman, Jakarta",Sushi,Ramen,Jepang,1
Madam Sichuan,3.4,100000,"Citywalk Sudirman, Sudirman, Jakarta",Chinese,-,-,1
Platinum,2.7,100000,"Plaza Semanggi, Sudirman, Jakarta",Barat,Indonesia,-,1
Bakmi Berdikari,4.1,100000,"Tebet, Jakarta",Bakmi,Chinese,Indonesia,1
Antipodean,4.2,100000,"Hero Kemang, Kemang, Jakarta",Kopi,Barat,Asia,1
Manse Korea Grill,3.7,100000,"Tebet, Jakarta",Korea,Grill,-,1
Convivium Kafe Deli,4.2,100000,"Dharmawangsa, Jakarta",Barat,Desserts,-,1
Jag's Kitchen,4.4,100000,"Jagakarsa, Jakarta",Barat,Asia,-,1
Eatz,4.1,100000,"Pondok Indah, Jakarta",Arabian,India,Mediterranean,1
TRS,3.9,100000,"Cilandak Town Square, Fatmawati, Jakarta",Asia,Eropa,Barat,1
TanSu,3.7,100000,"Fatmawati, Jakarta",Indonesia,-,-,1
Bakoel Bebek,4,100000,"Mampang Prapatan, Jakarta",Jawa,Indonesia,-,1
Segoan The Dancing Rice,3.9,100000,"Blok M, Jakarta",Jawa,Indonesia,-,1
Mandaga' Canteen,3.9,100000,"Grand Wijaya Center, Dharmawangsa, Jakarta",Jawa,Padang,Betawi,1
Nampan Bistro,3.8,100000,"Pasar Minggu, Jakarta",Itali,Asia,Barat,1
Sakabe Buffet,3.9,100000,"Tebet, Jakarta",Jepang,Grill,-,1
Do An,3.7,100000,"Epicentrum Walk, Kuningan, Jakarta",Vietnam,-,-,1
Tamarind & Lime,3.9,100000,"Senopati, Jakarta",Asia,-,-,1
90 Bun Barbekyu House AYCE,3.8,100000,"Pasar Minggu, Jakarta",Barbekyu,-,-,1
Wyl's Kitchen - Veranda Hotel At Pakubuwono,4.2,100000,"Veranda Hotel At Pakubuwono, Gandaria, Jakarta",Indonesia,-,-,1
Piknik - Arif Inn,4.3,100000,"Lebak Bulus, Jakarta",Barat,-,-,1
Egghotel,4,100000,"Setiabudi, Jakarta",Asia,Australian,Barat,1
D'Crystal Terrace,3.2,100000,"Plaza Oleos, Cilandak, Jakarta",Barat,Asia,-,1
Balakenam Dapoer Rakjat,3.8,100000,"Tebet, Jakarta",Indonesia,-,-,1
Papoea by Nature,3.8,100000,"Blok M, Jakarta",Indonesia,-,-,1
ORO Italian Restaurant & Lounge,3.5,100000,"Kemang, Jakarta",Itali,Amerika,Arabian,1
Oh My Grill,3.8,100000,"Kemang, Jakarta",Jepang,Barbekyu,-,1
Te Ti Ba Coffeebar,3.3,100000,"Melawai, Jakarta",Kopi,-,-,1
7AM Coffee,3.8,100000,"Fatmawati, Jakarta",Kopi,Barat,Indonesia,1
Anomali Coffee,2.8,100000,"Pondok Indah Plaza 6, Pondok Indah, Jakarta",Kopi,Indonesia,Barat,1
Thirsty & Hungry,3.9,100000,"Kemang, Jakarta",Burger,Barat,-,1
Omah Pawon,3.1,100000,"Cilandak, Jakarta",Jawa,-,-,1
Sophie Authentique,4.2,100000,"Fatmawati, Jakarta",French,Kopi,Desserts,1
Taco Local,4.2,100000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",Mexican,-,-,1
SRSLY Coffee,4.3,100000,"Fatmawati, Jakarta",Kopi,Barat,Itali,1
Dim Sum Inc.,3.9,100000,"Plaza Festival, Kuningan, Jakarta",Dimsum,Chinese,-,1
Kamakura Japanese Kafe,4.1,100000,"Fatmawati, Jakarta",Kafe,Jepang,Desserts,1
Teratai Restaurant - GP Mega Kuningan Hotel,2.5,100000,"Best Western Hotel, Kuningan, Jakarta",Indonesia,Barat,Eropa,1
Dea Kafe,3.6,100000,"Menara Dea, Kuningan, Jakarta",Barat,Indonesia,-,1
Race2Run Kafe,2.9,100000,"Gatot Subroto, Jakarta",Asia,Barat,-,1
Bueno Nasio,3.7,100000,"Menara BTPN, Kuningan, Jakarta",Indonesia,-,-,1
Ruma Coffeeatery,3.9,100000,"Senopati, Jakarta",Indonesia,Kopi,-,1
Caffe Bene,3.7,100000,"Menara Rajawali, Kuningan, Jakarta",Kafe,Desserts,Kopi,1
Kambing Bakar Cairo,4.1,100000,"Melawai, Jakarta",Timur Tengah,-,-,1
Playaround Coffee & Kitchen,3.9,100000,"Bintaro, Jakarta",Kafe,Kopi,Indonesia,1
PappaRich,3.5,100000,"Kemang Village, Kemang, Jakarta",Malaysia,-,-,1
Raa Cha,3.9,100000,"Pejaten Village, Pasar Minggu, Jakarta",Thai,Barbekyu,-,1
Wangja,3.5,100000,"Tebet, Jakarta",Korea,-,-,1
Warung Tekko,2.8,100000,"Plaza Festival, Kuningan, Jakarta",Indonesia,-,-,1
WE I Eatery & Drinkery,3.2,100000,"South Quarter, Lebak Bulus, Jakarta",Jepang,-,-,1
Toodz House,3.7,100000,"Lebak Bulus, Jakarta",Kopi,Itali,Asia,1
Trafique Coffee,4.3,105000,"Senayan, Jakarta",Kafe,-,-,2
Colette & Lola,4.5,105000,"Senopati, Jakarta",Desserts,Itali,Barat,2
Apero,3.2,110000,"Citywalk Sudirman, Sudirman, Jakarta",Itali,Barat,-,2
The Real Holysteak!,3.9,110000,"Senayan City, Senayan, Jakarta",Steak,Grill House,-,2
Thai Street,4.1,110000,"Plaza Senayan, Senayan, Jakarta",Thai,-,-,2
Gunung Mas,3.3,110000,"Energy Building, SCBD, Jakarta",Chinese,Indonesia,-,2
HONU PokÃ© & Matcha Bar,4.7,110000,"Kemang, Jakarta",Jepang,Tea,Beverages,2
Daging Laut,2.1,110000,"Fatmawati, Jakarta",Grill,Seafood,-,2
Excelso,3.2,115000,"Senayan City, Senayan, Jakarta",Kopi,Amerika,Indonesia,2
Pho 24,3.3,115000,"Senayan City, Senayan, Jakarta",Vietnam,-,-,2
Bari-Uma Ramen,4.3,115000,"Citywalk Sudirman, Sudirman, Jakarta",Ramen,Jepang,-,2
Warung Leko,3.3,115000,"Citywalk Sudirman, Sudirman, Jakarta",Jawa,Indonesia,-,2
Tokyo Skipjack,4.3,120000,"Blok M, Jakarta",Jepang,Steak,-,2
Haikara Sushi,3.8,120000,"Melawai, Jakarta",Jepang,Sushi,Ramen,2
BAE,4.1,125000,"Senayan City, Senayan, Jakarta",Asia,Barat,Cemilan,2
Commond Grounds,3.6,125000,"Senayan City, Senayan, Jakarta",Kopi,Barat,Itali,2
Lekker Djakarta,3.3,125000,"Senayan, Jakarta",Indonesia,Kopi,Tea,2
Yongdaeri Korea Barbekyu,4.3,125000,"SCBD, Jakarta",Barbekyu,Korea,Grill House,2
Tori Ya,3.4,125000,"Fairgrounds, SCBD, Jakarta",Jepang,-,-,2
miu Ishinabe,3.9,125000,"Summitmas Tower, SCBD, Jakarta",Jepang,-,-,2
Batik Kuring,3.3,125000,"SCBD, Jakarta",Seafood,Indonesia,-,2
Kin No Taki,2.9,125000,"Plaza Semanggi, Sudirman, Jakarta",Jepang,Ramen,Sushi,2
Pizza Hut,3.3,125000,"Bendungan Hilir, Jakarta",Pizza,Amerika,-,2
Fish & Chips Threehouse,3.8,125000,"Bendungan Hilir, Jakarta",Barat,-,-,2
Genki Sushi,3.1,125000,"Plaza Senayan, Senayan, Jakarta",Jepang,Sushi,-,2
SaladStop!,4.5,125000,"Senayan City, Senayan, Jakarta",Makanan Sehat,-,-,2
Osaka Ohsho,4.1,125000,"Plaza Senayan, Senayan, Jakarta",Jepang,-,-,2
Penang Bistro,4.3,125000,"Senayan, Jakarta",Peranakan,Malaysia,-,2
