Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Koi Kafe,3.3,35000,"Senayan City, Senayan, Jakarta",Bubble Tea,Minuman,-,1
Soma Coffee,4.7,35000,"Senayan, Jakarta",Kopi,-,-,1
Nasi Gila & Sate Taichan Patung Panahan,3.1,35000,"Senayan, Jakarta",Makanan Jalanan,Satay,-,1
Kina,3.4,35000,"SCBD, Jakarta",Kopi,Burger,Fusion,1
HABITUAL COFFEE & EATERY (Roti Bakar Kemang),3.2,35000,"Bendungan Hilir, Jakarta",Desserts,Makanan Jalanan,-,1
Arborea Kafe,3,35000,"Senayan, Jakarta",Kopi,-,-,1
Duta Bakwan & Cwie Mie Malang,3.3,35000,"Plaza Senayan, Senayan, Jakarta",Indonesia,-,-,1
McKafe,3.2,35000,"STC Senayan, Senayan, Jakarta",Kopi,Tea,Desserts,1
Churrobites: Churros and Coffee,4,35000,"Senayan, Jakarta",Kopi,Camilan,Barat,1
Kopi Senayan,3.5,35000,"Senayan, Jakarta",Kopi,-,-,1
Warung Steak 76,3.5,35000,"Palmerah, Jakarta",Steak,-,-,1
Kedai Kopi Kulo,3.7,35000,"Bendungan Hilir, Jakarta",Minuman,Kopi,-,1
Roti Bakar Kemang,3.9,35000,"Kemang, Jakarta",Desserts,Makanan Jalanan,-,1
Bakmi Jogja 'Mas Tok',3.6,35000,"Pasar Minggu, Jakarta",Bakmi,Jawa,-,1
Araneo Coworking Space & Kafe,3.5,35000,"Pasar Minggu, Jakarta",Indonesia,Kopi,-,1
Panggang Bro,4,35000,"Kemang, Jakarta",Indonesia,Bali,-,1
Kedai Halaman,3.6,35000,"Fatmawati, Jakarta",Jawa,Indonesia,-,1
Philocoffee,3.8,35000,"Fatmawati, Jakarta",Kopi,Beverages,-,1
Dapoer Roti Bakar,3.7,35000,"Pasar Minggu, Jakarta",Kopi,Desserts,-,1
KOPIOLA,3.6,35000,"Jagakarsa, Jakarta",Kopi,-,-,1
HAOTE - Sate Maranggi,3.8,35000,"Senopati, Jakarta",Satay,Sunda,Indonesia,1
Casa Da Vespa Kafe,3.3,35000,"Fatmawati, Jakarta",Kopi,Tea,Beverages,1
Mie Aceh Seulawah,4.2,38000,"Bendungan Hilir, Jakarta",Bakmi,Aceh,-,1
Krispy Kreme,3.4,38000,"Senayan City, Senayan, Jakarta",Kue & Roti,Desserts,-,1
Maqui's,3.7,38000,"Senayan City, Senayan, Jakarta",Desserts,-,-,1
9 Square Pool & Resto,3.4,38000,"Palmerah, Jakarta",Indonesia,Chinese,-,1
Banyak GAYA Coffee,3.7,40000,"Senayan, Jakarta",Kopi,Barat,-,1
Amyrea Art & Kitchen,3,40000,"Senayan, Jakarta",Indonesia,-,-,1
Komodo Kopi,4.8,40000,"Senayan, Jakarta",Kopi,-,-,1
WOW Eat Drink Click,4.8,40000,"Senayan, Jakarta",Makanan Cepat Saji,-,-,1
Mangkok Ku,3.6,40000,"Senayan Park, Senayan, Jakarta",Indonesia,-,-,1
Ciz n' Chic,4.1,40000,"Palmerah, Jakarta",Makanan Cepat Saji,-,-,1
Khayal Coffee Studio,4.1,40000,"Bendungan Hilir, Jakarta",Kopi,Desserts,-,1
Honey Lane,3.9,40000,"Pacific Place, SCBD, Jakarta",Minuman,Ice Cream,Desserts,1
Ropisbak Ghifari,2.8,40000,"Palmerah, Jakarta",Makanan Jalanan,Indonesia,-,1
Stacksite Express,3.9,40000,"Senayan, Jakarta",Amerika,Burger,Makanan Cepat Saji,1
Auntie Anne's,3.5,40000,"Senayan City, Senayan, Jakarta",Kue & Roti,-,-,1
Sari Ratu,3.1,40000,"Plaza Senayan, Senayan, Jakarta",Padang,-,-,1
